workclass_num,education.num,marital_num,race_num,sex_num,rel_num,capital.gain,capital.loss,workclass,fnlwgt,education,marital.status,occupation,relationship,race,sex,hours.per.week,native.country,income,age,over50K
4,14,3,0,0,0,0,4356,Private,132870,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Female,18,United-States,<=50K,82,0
5,2,2,3,1,1,0,3803,Private,140359,7th-8th,Divorced,Machine-op-inspct,Unmarried,White,Female,40,United-States,<=50K,54,0
0,10,2,0,1,1,51373,3900,Private,264663,Some-college,Separated,Prof-specialty,Own-child,White,Female,40,United-States,<=50K,41,0
3,16,1,0,1,0,74221,3913,Private,216864,HS-grad,Divorced,Other-service,Unmarried,White,Female,45,United-States,<=50K,34,0
2,6,2,0,1,0,36793,4145,Private,150601,10th,Separated,Adm-clerical,Unmarried,White,Male,40,United-States,<=50K,38,0
3,2,4,1,1,0,22131,3683,State-gov,88638,Doctorate,Never-married,Prof-specialty,Other-relative,White,Female,20,United-States,>50K,74,1
0,9,2,0,0,0,2373,2471,Federal-gov,422013,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,68,0
5,10,3,1,0,1,73211,2837,Private,70037,Some-college,Never-married,Craft-repair,Unmarried,White,Male,60,?,>50K,41,1
2,2,4,2,0,1,23494,1748,Private,172274,Doctorate,Divorced,Prof-specialty,Unmarried,Black,Female,35,United-States,>50K,45,1
2,14,4,3,0,0,72640,4333,Self-emp-not-inc,164526,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,45,United-States,>50K,38,1
6,13,0,0,0,0,15251,730,Private,129177,Bachelors,Widowed,Other-service,Not-in-family,White,Female,20,United-States,>50K,52,1
4,16,4,0,0,1,13120,2824,Private,136204,Masters,Separated,Exec-managerial,Not-in-family,White,Male,55,United-States,>50K,32,1
2,15,5,0,1,1,50671,2824,Private,45363,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Male,40,United-States,>50K,46,1
0,7,1,1,0,1,0,1689,Private,172822,11th,Divorced,Transport-moving,Not-in-family,White,Male,76,United-States,>50K,45,1
4,14,4,4,1,0,0,4334,Private,317847,Masters,Divorced,Exec-managerial,Not-in-family,White,Male,50,United-States,>50K,57,1
1,12,4,1,1,1,0,908,Private,119592,Assoc-acdm,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,?,>50K,22,1
