workclass_num,education.num,marital_num,race_num,sex_num,rel_num,capital.gain,capital.loss,workclass,fnlwgt,education,marital.status,occupation,relationship,race,sex,hours.per.week,native.country,income,age,over50K
3,14,3,0,0,0,0,4356,Private,132870,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Female,18,United-States,<=50K,82,0
0,2,2,3,0,1,0,2735,Private,140359,7th-8th,Divorced,Machine-op-inspct,Unmarried,White,Female,40,United-States,<=50K,54,0
0,10,2,0,1,0,0,3900,Private,264663,Some-college,Separated,Prof-specialty,Own-child,White,Female,40,United-States,<=50K,41,0
0,10,1,0,1,0,58151,3913,Private,216864,HS-grad,Divorced,Other-service,Unmarried,White,Female,45,United-States,<=50K,34,0
2,6,2,0,1,0,36793,4145,Private,150601,10th,Separated,Adm-clerical,Unmarried,White,Male,40,United-States,<=50K,38,0
1,16,3,0,0,0,22131,3683,State-gov,88638,Doctorate,Never-married,Prof-specialty,Other-relative,White,Female,20,United-States,>50K,74,1
0,9,2,0,0,1,13007,2471,Federal-gov,422013,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,68,0
0,10,3,1,1,1,43975,2837,Private,70037,Some-college,Never-married,Craft-repair,Unmarried,White,Male,60,?,>50K,41,1
4,2,1,2,1,0,84597,1748,Private,172274,Doctorate,Divorced,Prof-specialty,Unmarried,Black,Female,35,United-States,>50K,45,1
2,15,4,0,0,0,0,4279,Self-emp-not-inc,164526,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,45,United-States,>50K,38,1
0,13,0,0,0,0,15251,730,Private,129177,Bachelors,Widowed,Other-service,Not-in-family,White,Female,20,United-States,>50K,52,1
4,16,5,0,0,0,13120,2824,Private,136204,Masters,Separated,Exec-managerial,Not-in-family,White,Male,55,United-States,>50K,32,1
0,15,1,0,1,1,50671,2824,Private,45363,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Male,40,United-States,>50K,46,1
0,7,1,1,1,1,0,1689,Private,172822,11th,Divorced,Transport-moving,Not-in-family,White,Male,76,United-States,>50K,45,1
4,14,3,4,1,0,0,4334,Private,317847,Masters,Divorced,Exec-managerial,Not-in-family,White,Male,50,United-States,>50K,57,1
0,12,0,1,1,1,0,2824,Private,119592,Assoc-acdm,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,?,>50K,22,1
2,2,2,1,0,1,20453,1121,Private,203034,Bachelors,Separated,Sales,Not-in-family,White,Male,50,United-States,>50K,34,1
0,13,3,0,1,0,69367,1986,Private,188774,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,>50K,37,1
0,7,2,0,0,0,0,1461,Private,77009,11th,Separated,Sales,Not-in-family,White,Female,42,United-States,<=50K,29,0
5,1,4,0,0,1,94933,2754,Private,29059,HS-grad,Divorced,Sales,Unmarried,White,Female,25,United-States,<=50K,61,0
0,2,0,1,1,1,0,3971,Private,153870,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,51,0
0,2,4,0,1,1,909,2894,Private,34310,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,21,0
6,13,4,0,0,0,89478,3232,Private,228696,1st-4th,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,32,Mexico,<=50K,33,0
1,2,4,0,1,1,23098,2603,Private,122066,5th-6th,Married-civ-spouse,Other-service,Husband,White,Male,40,Greece,<=50K,49,0
2,6,5,3,1,0,41648,2559,Self-emp-inc,107164,10th,Never-married,Transport-moving,Not-in-family,White,Male,50,United-States,>50K,37,1
0,5,0,1,1,1,94127,2559,Private,175360,10th,Never-married,Prof-specialty,Not-in-family,White,Male,90,United-States,>50K,38,1
0,13,0,1,1,1,9172,2559,Private,44064,Some-college,Separated,Other-service,Not-in-family,White,Male,40,United-States,>50K,23,1
2,15,3,3,1,0,16492,2559,Self-emp-inc,107287,10th,Widowed,Exec-managerial,Unmarried,White,Female,50,United-States,>50K,59,1
0,14,1,0,0,0,70789,2559,Private,198863,Prof-school,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,>50K,52,1
0,14,1,1,1,1,80591,2000,Private,123011,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,50,United-States,>50K,51,1
3,4,3,4,1,1,30881,303,Self-emp-not-inc,205246,HS-grad,Never-married,Exec-managerial,Not-in-family,Black,Male,50,United-States,>50K,60,1
0,14,0,2,1,0,29842,4105,Federal-gov,39181,Doctorate,Divorced,Exec-managerial,Not-in-family,White,Female,60,United-States,>50K,63,1
4,16,0,0,1,1,96333,852,Private,149650,HS-grad,Never-married,Sales,Not-in-family,White,Male,48,United-States,>50K,53,1
0,15,4,3,0,0,57560,1782,Private,197163,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K,51,1
0,16,4,2,0,0,0,3259,Self-emp-not-inc,137527,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,60,United-States,>50K,37,1
4,16,1,4,0,0,58635,2158,Private,161691,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K,54,1
5,13,5,0,1,0,0,1341,Private,326232,Bachelors,Divorced,Exec-managerial,Unmarried,White,Male,50,United-States,>50K,44,1
3,14,1,4,0,1,27598,1189,Private,115806,Masters,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,>50K,43,1
5,7,5,3,0,1,83471,2547,Private,115066,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,>50K,51,1
0,2,1,3,0,1,0,1176,Private,289669,Masters,Divorced,Prof-specialty,Unmarried,White,Female,40,United-States,>50K,43,1
0,1,5,1,0,0,0,2543,Private,121253,Bachelors,Married-spouse-absent,Sales,Unmarried,White,Female,70,United-States,>50K,48,1
0,9,4,0,1,1,0,4150,Private,110380,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,52,United-States,<=50K,71,0
6,7,4,2,1,1,55430,1800,Self-emp-not-inc,233882,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,40,Vietnam,<=50K,73,0
5,13,3,2,0,0,0,3156,Self-emp-not-inc,335549,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,45,United-States,>50K,40,1
4,2,0,0,1,0,11369,3215,Private,237729,HS-grad,Widowed,Sales,Not-in-family,White,Female,72,United-States,>50K,50,1
6,13,1,4,1,0,39314,3556,State-gov,68898,Assoc-voc,Divorced,Tech-support,Not-in-family,White,Male,39,United-States,>50K,51,1
0,11,3,0,0,0,48048,2444,Private,107276,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,>50K,42,1
1,14,4,0,1,0,78833,1101,Private,141584,Masters,Never-married,Sales,Not-in-family,White,Male,45,United-States,>50K,39,1
6,6,3,2,1,1,45086,3598,Private,207668,Bachelors,Never-married,Exec-managerial,Other-relative,White,Male,50,United-States,>50K,32,1
6,13,4,0,1,0,70252,404,Private,313243,Some-college,Separated,Craft-repair,Not-in-family,White,Male,45,United-States,>50K,53,1
5,10,5,0,1,0,0,2444,Local-gov,147372,Some-college,Never-married,Protective-serv,Not-in-family,White,Male,40,United-States,>50K,40,1
6,13,1,4,1,0,63495,1467,Private,237608,Bachelors,Never-married,Sales,Not-in-family,White,Female,45,United-States,>50K,38,1
0,11,4,3,0,0,50070,1994,Private,194901,Assoc-voc,Separated,Craft-repair,Not-in-family,White,Male,42,United-States,>50K,33,1
0,3,3,0,0,1,0,812,Private,155106,Assoc-acdm,Divorced,Craft-repair,Not-in-family,White,Male,70,United-States,>50K,43,1
4,7,3,1,1,1,0,1718,Self-emp-inc,121441,11th,Never-married,Exec-managerial,Other-relative,White,Male,40,United-States,>50K,50,1
