fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.4,0.7,0.0,1.9,0.54,11.0,34.0,0.9978,3.27,0.56,9.33,5
15.38,0.34,0.96,15.29,0.01,59.08,241.06,0.9968,3.2,0.68,9.8,5
4.62,0.76,0.04,2.3,0.092,38.42,21.75,0.99,3.26,0.65,9.8,5
12.38,0.28,0.85,8.53,0.37,45.95,71.22,1.0,3.43,1.81,9.8,6
12.27,0.7,0.55,6.97,0.076,41.42,26.6,1.0,3.88,0.65,8.63,5
8.23,0.66,0.0,1.8,0.38,67.43,83.55,1.0,3.51,0.56,9.65,5
5.96,0.55,0.08,1.6,0.11,17.02,107.55,1.0,3.3,0.46,9.4,5
7.3,0.89,0.0,1.2,0.47,66.69,248.57,1.0,4.0,0.47,9.26,7
8.65,0.16,0.02,1.38,0.08,38.35,254.64,1.0,3.61,0.57,9.5,7
14.58,0.5,0.36,6.1,0.1,33.98,81.37,1.0,3.75,0.8,9.96,5
6.7,0.75,0.04,1.8,0.42,27.4,192.6,0.9959,3.28,0.93,9.2,5
8.94,0.5,0.01,14.86,0.31,25.1,66.22,1.0,3.35,1.7,10.06,5
5.6,0.615,0.02,14.74,0.26,33.14,181.8,0.99,3.58,0.52,10.87,5
12.86,0.3,0.29,1.6,0.49,9.0,234.36,0.99,2.94,0.64,9.1,5
8.9,0.62,0.18,8.21,0.17600000000000002,52.0,281.64,0.99,3.58,2.0,9.2,5
8.9,0.62,0.35,12.83,0.17,40.76,48.55,0.9986,3.17,0.93,9.2,5
8.5,1.35,0.23,1.8,0.38,44.17,235.71,0.9969,2.95,0.92,10.36,7
9.3,1.04,0.96,10.44,0.54,16.0,56.0,1.0,3.11,1.28,14.2,5
13.6,1.22,0.29,2.7,0.53,51.75,89.17,0.99,2.97,0.5,14.47,4
7.9,0.32,0.15,9.68,0.57,49.62,56.0,0.9969,3.25,1.08,9.2,6
10.73,1.0,0.48,5.22,0.29,26.6,56.51,1.0,3.58,0.53,9.4,6
5.34,0.39,0.14,4.93,0.04,35.34,22.77,0.9982,3.66,1.39,9.7,5
4.67,0.43,0.21,8.27,0.59,6.95,37.0,1.0,3.17,0.91,10.09,5
5.26,1.36,0.97,6.6,0.31,42.61,230.12,0.99,3.93,0.53,9.4,5
9.64,0.4,0.14,9.43,0.085,70.78,40.0,1.0,3.72,0.53,11.83,6
6.3,0.39,0.99,1.4,0.08,11.0,65.19,0.9955,3.08,0.56,9.3,5
7.6,1.29,0.24,15.29,0.49,47.28,218.07,1.0,3.28,0.59,8.61,5
9.1,0.45,0.04,1.6,0.18,4.76,94.28,0.99,2.94,1.04,9.5,5
8.78,1.18,0.0,1.9,0.41,2.76,35.0,1.0,3.94,0.55,12.83,5
7.8,0.49,0.72,2.0,0.43,8.0,15.88,0.99,3.59,0.59,13.62,6
12.1,0.22,0.49,6.34,0.39,11.55,208.38,0.9958,3.26,0.54,9.77,5
12.59,0.685,0.0,2.5,0.46,28.82,54.36,1.0,3.02,0.65,10.6,6
15.79,0.655,0.12,8.42,0.61,26.32,113.0,0.99,3.02,0.66,8.94,5
6.9,0.41,0.3,15.06,0.15,40.0,83.0,0.9993,2.86,1.82,9.4,6
12.0,0.63,0.54,1.8,0.04,13.48,50.0,1.0,3.38,0.55,9.2,5
15.87,1.53,0.0,5.5,0.086,5.0,224.87,0.99,3.81,0.55,9.6,6
6.5,0.71,0.14,2.4,0.34,3.0,166.91,0.9975,3.56,1.72,10.8,6
13.64,0.38,0.28,5.06,0.2,53.0,250.98,0.99,3.67,0.73,9.7,7
5.7,1.13,0.09,13.3,0.29,7.0,112.54,0.994,3.5,1.84,9.8,4
13.4,0.45,0.36,5.9,0.38,43.61,68.62,1.0,3.33,0.9,8.98,5
7.18,0.45,0.14,5.9,0.27,71.01,87.0,1.0,3.45,0.83,9.2,5
8.8,0.61,0.03,3.65,0.56,17.0,196.24,1.0,3.78,0.51,10.94,4
7.37,1.19,0.02,2.6,0.15,8.0,14.0,0.99,3.69,1.18,10.5,6
14.32,0.66,0.24,2.2,0.069,38.17,158.78,0.9968,3.3,1.2,14.11,5
13.99,1.2,0.02,2.88,0.05,65.23,279.31,0.9962,3.21,0.52,13.14,5
8.12,1.29,0.15,12.16,0.06,69.87,65.0,1.0,3.9,1.54,13.1,4
13.08,0.71,0.02,2.2,0.01,50.4,76.22,0.997,3.25,0.73,10.43,5
15.35,1.58,0.25,7.87,0.48,52.4,37.0,0.9969,3.68,1.08,13.9,5
