type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
white,7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6
white,6.3,1.23,0.34,57.46,0.3,14.0,172.82,1.03,3.16,0.49,9.5,6
white,8.1,0.28,0.75,44.0,0.05,60.5,97.0,0.9951,3.35,0.44,10.1,6
red,8.27,0.23,0.32,8.5,0.057999999999999996,47.0,292.14,1.03,3.19,1.9,9.9,6
white,7.2,0.23,0.32,8.5,0.057999999999999996,47.0,186.0,0.9956,3.19,0.4,9.9,6
white,8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,2.77,0.44,10.1,6
white,6.2,1.5,0.16,7.0,0.045,30.0,136.0,1.04,3.18,1.82,9.6,6
white,6.97,0.27,0.36,6.83,0.4,189.72,33.65,1.001,3.0,0.45,12.88,6
white,6.3,0.39,0.34,29.83,0.049,14.0,132.0,0.9940000000000001,2.84,0.23,11.21,6
white,8.1,0.22,0.43,26.75,0.044000000000000004,28.0,129.0,0.9938,2.9,0.45,12.61,6
white,8.1,0.24,0.41,1.45,0.033,209.38,63.0,0.9908,2.99,0.56,8.05,5
red,15.46,0.63,0.17,4.2,0.035,17.0,83.84,0.9947,3.14,0.66,9.7,5
white,7.9,0.18,0.37,45.88,0.04,233.71,402.44,0.992,2.84,0.78,10.8,5
white,6.6,0.16,0.4,1.5,0.044000000000000004,48.0,143.0,0.9912,3.54,1.07,12.4,7
white,8.3,0.42,0.62,29.31,0.04,41.0,172.0,1.0002,2.98,0.67,9.7,5
white,6.6,0.17,0.38,1.5,0.032,126.79,112.0,0.9914,3.25,0.55,11.4,7
white,6.3,1.09,0.04,1.1,0.046,53.14,99.0,1.01,3.24,0.36,14.13,6
white,6.55,0.71,0.48,1.2,0.39,29.0,75.0,0.99,2.78,0.39,12.8,8
white,7.4,0.34,0.42,1.1,0.033,17.0,171.0,0.9917,3.12,0.53,11.3,6
white,6.5,0.31,0.05,35.32,0.044000000000000004,34.0,133.0,0.99,3.39,0.5,9.5,5
white,14.82,0.13,0.48,1.2,0.04,221.22,75.0,0.99,3.33,0.39,12.8,8
white,6.4,0.31,0.38,2.9,0.038,19.0,102.0,1.03,3.17,0.35,11.0,7
white,5.48,0.26,0.42,55.81,0.049,41.0,93.62,0.99,3.47,0.48,10.5,8
white,7.6,1.21,0.3,1.5,0.07400000000000001,25.0,168.0,1.0,3.13,1.38,8.48,5
white,6.6,0.27,0.41,1.3,0.052000000000000005,16.0,185.46,0.9951,3.42,0.47,10.0,6
white,7.0,0.25,0.32,9.0,0.046,56.0,211.54,0.9955,3.82,0.5,10.4,6
white,11.5,1.33,0.35,1.0,0.052000000000000005,35.0,146.0,1.01,3.45,0.77,10.0,6
white,10.08,0.28,0.63,8.7,0.49,32.0,141.0,0.9961,3.38,1.79,10.5,6
white,7.4,0.85,1.34,59.73,0.047,17.0,343.65,1.02,3.19,0.49,8.07,6
white,7.2,0.32,0.36,2.0,0.033,37.0,114.0,0.9906,3.1,0.71,12.3,7
white,8.5,0.24,0.39,24.38,0.044000000000000004,20.0,286.1,1.03,3.65,0.53,10.0,6
white,8.3,0.14,0.34,1.1,0.042,7.0,147.8,1.01,3.09,0.4,12.36,6
white,7.4,0.25,0.31,2.05,0.05,31.0,100.0,1.03,3.19,0.44,10.8,6
white,6.2,1.13,0.21,,0.045,53.47,117.0,0.9939,2.89,0.51,9.0,6
white,10.29,0.27,0.2,14.95,0.11,22.0,179.0,0.9962,2.73,0.37,10.2,5
red,7.3,0.88,0.96,1.7,0.08,21.0,123.0,0.9905,3.19,0.42,12.8,5
white,6.5,0.39,0.23,5.4,0.051,25.0,149.0,1.02,3.24,0.35,10.0,5
white,7.0,0.33,1.18,1.2,0.56,38.0,138.0,1.04,3.13,0.28,11.2,6
white,7.3,1.27,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6,5
white,7.3,0.24,1.36,17.95,0.59,45.0,149.0,0.9999,3.21,0.36,8.6,5
white,6.7,0.23,0.39,50.26,0.172,63.0,158.0,0.9937,2.89,0.36,9.4,6
white,11.77,0.69,0.39,2.9,0.41,109.25,219.34,0.9937,3.57,0.34,9.4,6
white,7.0,0.26,0.26,7.4,0.25,28.0,185.05,1.03,3.13,0.46,9.8,6
white,6.6,0.24,0.27,10.37,0.057,33.0,152.0,0.9934,3.66,1.82,9.5,6
red,6.11,0.23,0.74,40.65,0.03,33.0,110.92,1.0,3.24,0.56,9.5,6
white,14.14,0.18,0.31,50.48,0.057999999999999996,38.0,167.0,0.9931,3.6,0.53,10.0,7
white,6.2,0.45,0.26,4.4,0.48,63.0,383.9,0.9940000000000001,3.27,0.52,9.8,4
white,6.2,0.42,1.17,4.4,0.38,62.0,133.15,1.04,3.77,0.52,9.8,5
white,7.0,0.31,0.26,7.4,0.069,122.38,160.0,0.9954,3.13,0.56,11.16,6
white,13.97,0.19,0.35,5.0,0.067,164.45,150.0,0.995,3.36,1.55,9.8,5
white,7.2,0.19,1.08,1.6,0.062,26.4,173.0,0.9917,3.35,0.44,11.7,6
red,6.6,0.29,0.42,53.9,0.068,39.0,124.0,0.9914,3.34,1.68,11.0,7
white,6.2,0.16,0.33,1.1,0.32,21.0,82.0,0.991,2.75,0.46,10.9,7
white,11.37,0.45,0.35,1.0,0.55,39.0,108.0,1.02,3.31,1.84,10.9,6
white,15.04,0.2,0.59,0.9,0.147,38.0,132.0,1.02,,0.38,9.1,6
white,6.9,0.25,0.35,30.67,0.039,233.08,118.45,0.9908,3.43,0.87,11.0,6
white,7.2,0.33,0.34,11.9,0.043,37.0,119.33,0.9962,3.69,0.5,9.6,6
white,6.0,0.71,0.38,42.83,0.09,50.0,147.0,0.9972,3.3,0.59,8.9,6
white,10.19,0.38,1.62,43.72,0.044000000000000004,25.0,242.72,0.9931,3.42,0.61,10.2,6
white,7.4,0.2,0.36,1.2,0.08,178.49,111.0,0.9926,3.93,0.51,9.9,6
white,11.43,0.68,0.24,4.9,0.092,76.17,123.0,0.9951,3.03,0.46,8.6,6
white,6.0,1.37,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,6
white,7.0,0.47,0.07,1.1,0.035,17.0,151.0,0.991,3.02,0.34,14.14,5
red,6.6,0.38,0.15,31.19,0.044000000000000004,25.0,78.0,0.9931,3.11,1.78,10.2,6
white,7.2,0.24,0.27,1.4,0.038,277.48,122.0,0.9927,3.15,0.46,10.3,6
white,6.9,0.35,0.03,1.2,0.064,29.0,148.67,0.9934,3.22,0.54,10.04,5
red,6.4,0.26,1.44,6.4,0.57,27.0,124.0,0.9903,3.49,0.49,12.6,7
white,6.7,0.25,0.13,30.28,0.040999999999999995,81.0,388.35,0.992,3.14,0.97,9.8,5
white,11.93,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,8
white,10.17,0.24,0.29,10.1,0.55,101.91,105.0,0.9962,3.13,1.59,13.34,5
white,6.2,0.27,0.43,7.8,0.055999999999999994,48.0,221.36,1.01,3.1,0.51,11.7,6
white,6.8,0.3,0.84,35.05,0.061,50.5,377.54,0.9958,3.32,0.6,9.89,5
white,6.0,0.27,0.28,4.8,0.063,31.0,201.0,1.03,3.69,0.71,10.0,5
red,8.6,0.23,0.46,1.0,0.054000000000000006,9.0,72.0,0.9941,2.95,0.49,9.1,6
white,6.7,0.23,0.63,23.93,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,8
white,4.42,0.24,0.29,10.1,0.05,21.0,235.11,0.9962,3.13,0.35,9.5,5
white,5.16,1.4,0.36,1.4,0.043,54.85,87.0,0.9898,3.26,0.37,12.7,7
white,7.0,0.32,0.34,1.3,0.042,20.0,69.0,0.9912,3.31,0.65,12.0,7
white,7.4,0.18,0.3,8.8,0.064,26.0,103.0,0.9961,2.94,0.56,9.3,5
white,5.02,0.23,0.28,18.66,0.06,21.0,105.0,1.02,3.27,0.37,9.0,5
white,6.8,0.22,0.31,1.4,0.22,34.0,114.0,0.9929,3.74,0.77,10.6,6
white,14.08,0.18,0.47,16.0,0.05,229.57,166.0,0.9985,2.9,0.6,13.53,6
white,13.73,0.93,0.2,6.1,0.063,47.0,164.0,0.9946,3.17,0.42,12.0,5
white,8.91,0.22,0.16,8.2,0.047,42.0,207.0,0.9966,3.33,0.46,9.5,6
white,7.1,0.74,1.35,11.8,0.045,54.0,113.08,0.9974,3.11,0.45,8.7,5
