customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Male,1,Yes,Yes,14,No,No,No,No internet service,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),79.43,5408.25,No
5575-GNVDE,Male,0,Yes,Yes,5,No,No,DSL,No internet service,No,Yes,Yes,No,No,One year,No,Electronic check,56.3,7680.31,No
3668-QPYBK,Male,1,Yes,No,1,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),51.19,965.76,Yes
7795-CFOCW,Male,0,Yes,Yes,40,No,No phone service,No,Yes,No,No,No internet service,No,No,One year,Yes,Bank transfer (automatic),97.64,4842.87,No
9237-HQITU,Female,1,No,Yes,64,No,No,Fiber optic,No,No internet service,No,Yes,No internet service,No internet service,One year,No,Electronic check,64.48,3888.52,Yes
9305-CDSKC,Male,1,No,Yes,57,Yes,No phone service,DSL,No internet service,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),116.75,7473.18,Yes
1452-KIOVK,Male,0,Yes,Yes,34,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No,Yes,Two year,No,Electronic check,52.47,5810.96,No
6713-OKOMC,Male,1,Yes,No,48,No,No,DSL,No,No internet service,No internet service,No internet service,No,Yes,One year,Yes,Electronic check,64.93,3190.08,No
7892-POOKP,Male,0,No,Yes,52,No,Yes,DSL,No,No internet service,Yes,No,No internet service,Yes,One year,Yes,Electronic check,56.14,4148.29,Yes
6388-TABGU,Male,0,Yes,No,47,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Two year,Yes,Electronic check,112.75,4821.78,No
9763-GRSKD,Female,1,No,No,34,Yes,No phone service,No,No internet service,No,No internet service,No internet service,No,No internet service,One year,No,Electronic check,70.61,1441.79,No
7469-LKBCI,Male,0,Yes,No,50,Yes,No phone service,Fiber optic,No,No,No internet service,No,Yes,No,Two year,No,Electronic check,63.01,7661.07,No
8091-TTVAX,Male,1,No,No,61,Yes,No phone service,DSL,Yes,Yes,No,No internet service,No,No internet service,One year,No,Credit card (automatic),92.63,91.4,No
0280-XJGEX,Female,0,No,Yes,69,Yes,No phone service,DSL,Yes,No,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),79.05,7246.61,Yes
5129-JLPIS,Male,1,Yes,Yes,51,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No internet service,Yes,One year,No,Mailed check,72.8,384.59,No
3655-SNQYZ,Male,1,No,Yes,28,No,No phone service,No,No internet service,Yes,No internet service,Yes,No,Yes,One year,Yes,Bank transfer (automatic),88.45,7763.91,No
8191-XWSZG,Female,1,Yes,No,57,No,No phone service,No,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),81.45,4738.33,No
9959-WOFKT,Male,1,Yes,Yes,12,No,Yes,No,No,No,Yes,Yes,No internet service,Yes,One year,No,Electronic check,56.35,3477.33,No
4190-MFLUW,Female,1,No,No,17,No,No phone service,Fiber optic,No internet service,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,26.46,968.78,Yes
4183-MYFRB,Female,1,Yes,No,12,No,No,Fiber optic,No,Yes,No,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),110.34,4526.02,No
8779-QRDMV,Male,1,No,No,45,Yes,No,No,No internet service,No internet service,No,No,No internet service,No internet service,Two year,Yes,Electronic check,74.47,4535.1,Yes
1680-VDCWW,Female,1,Yes,No,7,No,No phone service,No,No internet service,Yes,No,Yes,No internet service,Yes,Two year,Yes,Mailed check,108.49,2843.23,No
1066-JKSGK,Female,0,No,Yes,9,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No,No,Two year,Yes,Electronic check,76.66,6071.18,Yes
3638-WEABW,Female,0,No,Yes,60,Yes,No,Fiber optic,No internet service,No internet service,No,No,Yes,No internet service,Two year,No,Electronic check,108.17,5662.77,No
6322-HRPFA,Female,1,Yes,Yes,1,Yes,No phone service,DSL,Yes,No,No,No internet service,No,No,Two year,No,Bank transfer (automatic),71.85,1031.56,No
