type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
red,7.0,0.19,0.86,59.55,0.03,263.48,430.67,1.01,2.9,0.32,12.23,6
red,11.63,1.44,0.2,47.69,0.32,1.87,28.62,1.03,3.71,0.45,10.58,6
white,6.51,0.98,0.93,0.93,0.23,153.37,161.23,1.0,3.35,0.44,13.51,6
white,5.29,0.64,0.41,8.5,0.02,47.0,306.35,1.03,3.19,1.71,10.11,6
white,7.2,0.23,1.47,8.5,0.057999999999999996,269.15,197.01,1.0,3.19,1.08,8.63,6
red,7.55,0.28,0.94,20.5,0.41,78.39,435.02,1.03,2.77,0.44,13.81,6
white,10.1,0.9,1.51,7.0,0.6,30.0,128.78,0.99,3.18,0.78,9.6,6
white,12.14,1.06,1.6,6.83,0.4,55.75,150.59,1.03,3.91,0.68,14.81,6
white,4.58,0.39,1.07,29.83,0.049,230.15,132.0,0.9940000000000001,3.5,1.82,11.21,6
red,8.49,0.25,1.23,32.4,0.044000000000000004,272.79,196.37,1.0,2.95,0.53,13.65,6
white,9.52,1.27,1.3,18.58,0.033,89.72,21.39,0.99,3.38,0.68,8.05,5
red,9.33,0.92,1.34,22.56,0.37,17.0,313.0,0.99,3.14,1.78,13.39,5
white,12.84,1.26,0.45,45.88,0.28,285.83,14.34,0.992,3.42,1.97,9.78,5
white,4.64,1.3,1.52,40.1,0.46,71.35,214.26,1.03,3.94,1.96,11.01,7
white,12.79,0.42,0.62,42.67,0.3,3.03,172.0,1.01,3.76,0.67,9.54,5
red,4.43,0.14,1.16,1.5,0.18,126.79,286.12,1.03,3.97,0.55,9.43,7
white,7.76,0.93,0.88,46.13,0.046,53.14,99.0,1.04,3.24,0.36,8.95,6
white,7.06,1.36,1.24,35.43,0.1,29.0,243.43,1.01,2.78,0.39,13.96,8
white,4.48,0.73,0.56,1.1,0.11,183.23,428.31,1.02,3.9,1.87,10.17,6
white,11.71,1.21,0.06,6.6,0.06,106.84,219.72,1.0,3.39,1.54,12.69,5
white,10.04,1.32,0.48,1.2,0.04,221.22,387.45,1.0,3.61,1.79,12.66,8
