Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
F,0.49,0.13,0.86,1.89,0.47,0.59,0.68,15
I,0.2,0.48,0.09,1.56,0.75,0.2,0.81,7
F,0.68,0.42,0.84,0.16,1.16,0.52,0.99,9
M,0.28,0.365,0.77,0.516,0.26,0.01,0.74,10
F,0.62,0.1,0.33,2.17,1.11,0.75,0.13,7
I,0.74,0.47,0.05,0.77,1.41,0.5,0.28,8
F,0.53,0.57,0.15,1.92,1.47,0.59,0.33,20
I,0.22,0.62,0.125,1.32,0.16,0.33,0.84,16
M,0.75,0.37,0.46,0.01,0.72,0.06,0.97,9
I,0.69,0.09,1.06,1.51,0.96,0.151,0.29,19
F,0.49,0.38,0.7,0.6065,1.34,0.53,0.53,14
M,0.33,0.35,1.04,0.86,1.05,0.26,0.57,10
M,0.73,0.06,0.39,0.36,0.2175,0.03,0.34,11
M,0.73,0.4,0.55,0.26,1.32,0.3,0.13,10
F,0.42,0.355,0.34,2.81,0.1675,0.52,0.68,10
F,0.34,0.4,0.46,1.02,1.04,0.58,0.24,12
F,0.39,0.56,0.24,0.96,0.095,0.45,0.87,7
M,0.17,0.54,1.13,0.2,0.49,0.75,0.13,10
M,0.2,0.295,0.86,0.2555,0.05,0.61,0.1,7
M,0.38,0.2,0.73,2.0,0.33,0.075,0.72,9
I,0.355,0.3,0.095,1.57,0.0955,0.45,0.35,11
I,0.54,0.38,1.0,1.23,0.28,0.049,0.085,10
F,0.44,0.62,0.69,0.55,0.7,0.38,0.27,12
I,0.55,0.415,0.135,1.39,0.318,0.46,0.59,9
I,0.31,0.24,0.38,1.1615,0.513,0.37,0.43,10
F,0.56,0.37,0.72,0.9285,1.42,0.06,0.3,11
I,0.45,0.45,0.94,0.9955,1.11,0.32,0.26,11
F,0.77,0.11,0.96,1.13,1.32,0.57,0.39,12
M,0.605,0.53,0.67,2.02,0.39399999999999996,0.38,0.91,15
M,0.6,0.33,0.7,2.6,0.12,0.18,0.2,11
I,0.71,0.23,0.2,2.72,1.46,0.67,0.15,10
F,0.68,0.09,1.09,0.45,0.6055,0.2805,0.46,15
F,0.665,0.2,0.165,1.62,1.37,0.07,0.86,18
F,0.68,0.55,0.25,0.6,0.815,0.38,0.78,19
I,0.18,0.47,1.06,1.7095,0.99,0.63,1.0,13
I,0.465,0.19,0.105,2.5,1.06,0.55,0.99,8
F,0.14,0.35,0.65,0.35,1.26,0.39,0.4,16
M,0.49,0.23,0.48,1.41,0.63,0.29,0.34,8
M,0.54,0.445,0.05,0.883,0.53,0.72,0.63,11
