Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
M,0.49,0.13,0.2,2.72,0.47,0.59,0.38,15
M,0.32,0.48,0.09,0.07,0.0995,0.21,0.45,7
M,0.61,0.42,0.84,0.16,1.16,0.07,0.14,9
M,0.2,0.365,0.77,0.516,0.26,0.55,0.155,10
M,0.62,0.39,0.33,2.17,1.11,0.47,0.055,7
I,0.54,0.3,0.21,1.08,1.41,0.5,0.28,8
F,0.53,0.32,0.15,1.92,1.11,0.1415,0.33,20
I,0.68,0.425,0.125,1.07,0.294,0.33,0.84,16
M,0.475,0.37,0.46,0.5095,0.2165,0.06,0.3,9
I,0.69,0.09,1.06,0.8945,0.96,0.151,0.49,19
F,0.69,0.38,0.44,0.6065,0.56,0.15,0.53,14
M,0.4,0.35,1.01,1.57,0.42,0.26,0.34,10
M,0.73,0.06,0.39,0.74,0.2175,0.74,0.53,11
M,0.535,0.5,0.55,0.26,0.82,0.46,0.48,10
F,0.67,0.355,0.1,0.4755,0.1675,0.71,0.68,10
F,0.34,0.4,0.46,1.02,1.04,0.133,0.24,12
F,0.39,0.38,0.24,1.72,0.095,0.45,0.87,7
I,0.17,0.34,0.82,0.71,1.2,0.75,0.13,10
M,0.365,0.295,0.86,0.2555,0.09699999999999999,0.043,0.1,7
I,0.53,0.55,0.73,2.0,0.33,0.075,0.72,9
I,0.355,0.42,0.095,0.2455,0.0955,0.68,0.0,11
I,0.58,0.38,0.71,0.2255,0.28,0.049,0.085,10
F,0.38,0.62,0.69,2.77,0.7,0.38,0.27,12
M,0.55,0.415,0.135,0.7635,0.318,0.46,0.94,9
I,0.44,0.24,1.02,1.1615,0.513,0.37,0.43,10
M,0.56,0.37,0.14,0.9285,0.84,0.06,0.3,11
I,0.45,0.45,0.04,0.9955,1.04,0.75,0.3,11
M,0.59,0.445,0.71,2.33,1.32,0.57,0.39,12
F,0.605,0.15,0.67,2.02,0.39399999999999996,0.16,0.83,15
M,0.575,0.64,0.19,0.8635,0.12,0.18,0.2,11
M,0.71,0.23,0.2,2.72,1.2,0.15,0.33,10
F,0.68,0.09,0.165,1.76,0.6055,0.2805,0.46,15
F,0.665,0.2,0.165,1.62,1.37,0.3575,0.35,18
F,0.68,0.55,0.25,1.81,0.815,0.14,0.28,19
I,0.18,0.35,0.2,1.7095,0.9,0.63,0.49,13
I,0.465,0.22,0.105,2.5,0.17,0.44,0.125,8
F,0.14,0.4,0.65,0.35,1.26,0.39,0.07,16
M,0.49,0.23,0.48,0.74,0.26,0.29,0.11,8
F,0.54,0.445,0.05,0.883,0.53,0.2035,0.63,11
M,0.81,0.13,0.46,2.2,0.59,0.15,0.09,9
M,0.69,0.48,0.105,0.425,0.1865,0.5,0.27,9
M,0.18,0.36,0.135,0.23,0.36200000000000004,0.196,0.0,14
F,0.73,0.175,0.045,1.82,0.0315,0.0235,0.02,5
M,0.205,0.15,0.57,1.29,0.02,0.015,0.98,5
I,0.22,0.28,0.96,0.68,0.0175,0.0125,0.36,4
I,0.41,0.295,0.0,0.203,1.23,0.28,0.09,7
M,0.47,0.37,0.65,0.08,0.16,0.22699999999999998,0.14,9
F,0.47,0.375,0.58,0.35,0.49,0.73,0.15,7
I,0.66,0.36,1.07,2.34,1.41,0.68,0.04,6
I,0.08,0.17,0.84,1.01,0.3545,0.2135,0.245,9
