fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.13,0.7,0.0,1.9,0.54,11.0,34.0,0.9978,2.86,0.56,9.33,5
10.89,0.34,0.96,15.29,0.48,59.08,241.06,0.9968,3.2,0.68,14.88,5
14.63,0.76,0.02,2.3,0.092,38.42,21.75,1.0,3.44,0.45,9.8,5
12.38,0.28,0.85,8.53,0.37,45.95,71.22,1.0,3.65,1.81,9.8,6
14.52,0.7,0.52,6.97,0.33,41.42,26.6,1.0,3.88,0.65,14.62,5
8.23,0.43,0.0,1.8,0.51,67.43,156.19,1.0,2.76,0.56,9.65,5
14.12,0.55,0.08,1.6,0.6,17.02,37.51,1.0,3.3,0.86,9.4,5
7.3,0.89,0.0,1.2,0.47,66.69,248.57,1.0,3.27,1.04,9.26,7
8.65,1.37,0.02,1.38,0.37,22.84,254.64,1.0,3.49,0.57,9.5,7
7.3,0.5,0.1,6.1,0.1,46.04,81.37,1.0,2.81,0.8,10.75,5
6.7,0.74,0.54,14.68,0.35,44.69,192.6,1.0,3.28,0.93,9.2,5
8.94,0.5,0.01,14.86,0.31,25.1,203.31,1.0,3.73,1.7,11.56,5
5.6,0.615,0.02,14.74,0.26,33.14,181.8,0.99,3.58,0.52,10.87,5
12.86,0.3,0.29,1.6,0.19,9.0,234.36,0.99,2.94,0.71,12.29,5
9.9,0.62,0.18,8.21,0.45,52.0,52.86,1.0,3.58,2.0,9.2,5
9.99,0.17,0.35,12.83,0.17,40.76,48.55,0.9986,3.17,0.9,9.2,5
8.5,1.35,0.97,1.8,0.39,49.34,235.71,0.9969,2.95,0.88,10.36,7
9.3,1.29,0.23,10.44,0.58,71.15,56.0,1.0,3.11,1.43,14.86,5
13.6,1.22,0.29,2.7,0.53,51.75,25.48,0.99,2.97,0.8,13.61,4
7.9,0.32,0.06,3.72,0.57,24.61,56.0,0.9969,3.37,1.08,9.2,6
10.73,1.0,0.48,12.0,0.29,26.6,56.51,0.99,3.58,0.53,14.03,6
5.34,1.44,0.96,11.46,0.04,35.34,22.77,0.9982,3.66,1.39,12.13,5
4.67,0.43,0.21,8.27,0.59,6.95,37.0,1.0,3.17,1.36,9.7,5
10.39,1.36,0.97,6.6,0.6,42.61,230.12,1.0,3.93,0.53,9.4,5
9.64,0.4,0.14,9.43,0.03,70.78,40.0,1.0,3.67,0.53,11.83,6
6.3,0.39,0.99,2.62,0.52,60.64,239.53,0.99,3.48,0.56,9.3,5
7.6,1.29,0.06,11.96,0.03,47.28,218.07,1.0,3.28,1.1,11.26,5
