type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
white,7.0,0.92,1.33,20.7,0.03,263.48,430.67,1.01,3.0,0.45,10.85,6
red,6.3,0.74,0.2,32.13,0.3,1.87,273.01,1.03,3.55,0.45,10.58,6
white,8.1,0.98,1.47,44.0,0.1,139.73,23.75,1.0,3.35,0.44,13.51,6
red,10.79,0.23,1.53,8.5,0.02,47.0,375.44,1.03,3.19,1.71,10.11,6
white,7.2,0.23,0.99,8.5,0.057999999999999996,68.58,197.01,1.04,3.19,1.08,8.63,6
white,7.47,0.28,0.4,6.9,0.41,175.86,97.0,1.03,2.77,0.44,13.81,6
red,15.29,1.5,1.2,7.0,0.6,30.0,128.78,1.01,3.18,1.23,9.6,6
white,12.14,1.06,1.6,6.83,0.4,189.72,346.36,1.03,3.66,0.45,14.81,6
white,6.63,0.39,1.24,29.83,0.049,14.0,132.0,0.9940000000000001,2.84,0.23,11.21,6
white,8.49,0.22,0.43,29.79,0.044000000000000004,14.7,196.37,1.0,2.95,0.53,13.65,6
white,8.1,0.25,1.3,50.29,0.033,171.05,21.39,0.99,3.38,0.68,8.05,5
red,9.33,0.63,1.34,46.31,0.27,17.0,313.0,0.99,3.14,0.66,9.68,5
white,12.84,0.18,0.42,45.88,0.04,285.83,14.34,0.992,3.12,1.97,10.8,5
white,4.64,1.3,1.52,40.1,0.55,71.35,214.26,1.02,3.19,1.96,12.4,7
white,12.79,0.42,0.62,29.31,0.1,255.43,172.0,1.0,3.76,0.67,9.1,5
red,6.6,0.14,1.16,1.5,0.18,126.79,286.12,1.03,3.97,0.55,11.68,7
white,7.76,0.93,0.88,46.13,0.046,53.14,99.0,1.04,3.24,0.36,9.57,6
white,7.06,0.3,0.48,48.53,0.39,29.0,75.0,0.99,2.78,0.39,14.38,8
white,4.48,0.73,0.56,1.1,0.11,183.23,218.33,0.9917,3.82,1.87,10.17,6
white,11.71,1.53,0.45,35.32,0.06,106.84,219.72,0.99,3.39,1.53,12.69,5
white,14.82,1.32,0.48,1.2,0.04,221.22,387.45,0.99,3.61,1.79,12.66,8
white,6.4,0.31,0.07,2.9,0.17,19.0,102.0,1.01,3.48,0.35,10.9,7
white,5.85,0.26,0.12,27.67,0.56,231.0,93.62,0.99,3.24,0.48,10.5,8
white,7.6,0.42,0.3,6.7,0.07400000000000001,25.0,168.0,1.0,3.45,1.38,8.48,5
white,6.6,0.27,1.49,12.98,0.052000000000000005,16.0,386.51,1.02,3.42,0.47,9.83,6
white,8.44,0.93,0.32,33.86,0.046,56.0,211.54,0.99,3.82,0.5,8.67,6
red,11.8,1.33,1.23,1.0,0.052000000000000005,188.25,146.0,1.01,3.64,0.77,10.0,6
white,10.08,0.28,1.41,47.43,0.09,32.0,141.0,1.01,3.38,1.74,9.1,6
