Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
M,0.49,0.365,0.2,0.514,0.55,0.59,0.38,15
M,0.35,0.48,0.09,2.74,0.0995,0.21,0.07,7
M,0.61,0.42,0.135,0.16,1.16,0.07,0.14,9
M,0.2,0.365,0.77,0.516,0.2155,0.55,0.155,10
I,0.4,0.09,0.33,2.17,1.11,0.47,0.055,7
I,0.54,0.3,0.21,1.04,1.41,0.67,0.12,8
F,0.53,0.55,0.15,2.22,1.09,0.1415,0.33,20
I,0.68,0.425,0.125,1.07,0.294,0.33,0.26,16
M,0.475,0.37,0.3,0.5095,0.2165,0.06,0.59,9
I,0.69,0.44,0.15,0.8945,1.25,0.151,0.86,19
F,0.525,0.38,0.26,0.6065,0.56,0.21,0.21,14
M,0.4,0.35,1.01,1.57,0.42,0.04,0.135,10
M,0.73,0.38,0.39,0.5415,0.2175,0.74,0.53,11
M,0.535,0.48,0.145,0.26,0.82,0.46,0.48,10
F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.77,10
M,0.5,0.4,0.46,1.02,0.17,0.133,0.24,12
I,0.8,0.38,0.24,0.2905,0.095,0.0395,0.2,7
F,0.17,0.34,0.82,0.71,0.188,0.75,0.13,10
M,0.365,0.295,0.86,0.2555,0.09699999999999999,0.043,0.1,7
M,0.27,0.55,0.73,2.0,0.33,0.075,0.72,9
F,0.355,0.28,0.095,0.2455,0.0955,0.68,0.16,11
I,0.58,0.275,0.71,0.2255,0.63,0.049,0.085,10
F,0.46,0.44,0.69,0.9395,0.26,0.61,0.27,12
M,0.55,0.415,0.135,0.7635,0.318,0.18,0.94,9
F,0.44,0.24,0.165,1.1615,0.513,0.37,0.305,10
M,0.56,0.44,0.14,0.9285,0.84,0.06,0.3,11
F,0.38,0.45,0.185,0.9955,1.04,0.4,0.3,11
M,0.59,0.445,0.71,2.33,0.35600000000000004,0.23399999999999999,0.28,12
M,0.605,0.15,1.08,0.28,0.39399999999999996,0.21899999999999997,0.295,15
M,0.575,0.36,0.14,0.8635,0.39299999999999996,0.59,0.2,11
M,0.71,0.47,0.165,1.54,0.11,0.15,0.33,10
F,0.68,0.09,0.165,1.639,0.6055,0.2805,0.46,15
M,0.665,0.525,0.165,1.62,0.5515,0.3575,0.35,18
F,0.68,0.55,0.25,1.79,0.815,0.16,0.455,19
I,0.705,0.51,0.2,1.7095,0.9,0.63,0.49,13
M,0.465,0.355,0.105,2.5,0.54,0.124,0.125,8
F,0.14,0.4,0.65,1.217,1.26,0.34,0.07,16
F,0.45,0.63,0.43,1.3,0.237,0.1165,0.145,8
F,0.54,0.445,0.135,0.883,0.381,0.2035,0.63,11
M,0.81,0.34,0.09,0.3275,0.59,0.15,0.09,9
M,0.69,0.48,0.105,0.425,0.1865,0.7,0.27,9
M,0.24,0.36,0.135,0.8515,0.36200000000000004,0.196,0.21,14
F,0.24,0.175,0.045,1.94,0.0315,0.0235,0.02,5
M,0.205,0.15,0.45,0.042,0.0255,0.015,0.98,5
I,0.51,0.53,0.34,0.042,0.0175,0.0125,0.36,4
I,0.41,0.295,0.0,0.203,1.23,0.28,0.09,7
M,0.47,0.37,0.65,0.5795,1.08,0.22699999999999998,0.14,9
F,0.47,0.375,0.12,0.4605,0.49,0.2,0.15,7
I,0.325,0.245,0.73,2.34,0.0755,0.68,0.04,6
I,0.08,0.17,0.84,1.27,0.3545,0.2135,0.245,9
I,0.46,0.41,0.21,0.9,0.2385,0.111,0.19,8
F,0.4,0.32,1.07,0.303,0.1335,0.02,0.72,7
M,0.27,0.36,0.13,0.5415,0.72,0.24,0.16,10
F,0.78,0.36,0.12,1.45,0.74,0.1055,0.15,10
M,0.405,0.31,0.1,2.74,0.54,0.37,0.52,7
F,0.09,0.25,0.14,0.6615,0.2565,0.1755,0.22,8
M,0.38,0.35,0.79,0.4425,1.26,0.0955,0.135,8
M,0.47,0.385,1.01,0.17,0.02,0.39,0.17,8
I,0.26,0.19,0.82,2.56,0.042,0.24,0.17,4
F,0.505,0.4,0.83,2.01,0.24600000000000002,0.51,0.175,7
M,0.43,0.345,0.105,0.4115,0.18,0.32,0.77,7
F,0.505,0.405,0.11,1.36,1.04,0.16,0.23,9
F,0.28,0.24,0.83,2.76,0.302,0.1935,0.2,10
M,0.425,0.325,0.095,2.16,0.26,0.08,0.1,7
M,0.7,0.4,1.01,0.58,0.77,0.1315,0.28,8
F,0.42,0.355,0.12,2.5,1.27,0.36,0.135,8
F,0.565,0.44,0.04,1.53,0.354,0.1935,0.32,12
F,0.58,0.495,0.185,2.04,0.41600000000000004,0.22399999999999998,0.42,13
F,0.68,0.39,0.12,2.73,0.2135,0.1155,0.62,10
I,0.37,0.6,0.07,0.151,1.39,0.29,0.045,6
M,0.555,0.425,0.13,0.7665,0.6,0.65,0.275,13
I,0.13,0.32,0.61,0.353,0.1405,0.23,0.1,8
M,0.27,0.6,0.44,0.5,0.48,0.225,0.425,20
M,0.79,0.48,0.22,1.185,0.71,0.0,0.08,11
M,0.605,0.45,0.195,1.0979999999999999,0.1,0.0,0.315,13
F,0.6,0.475,1.07,1.0075,1.25,0.221,0.55,15
M,0.595,0.41,0.14,1.51,0.3625,0.18899999999999997,0.315,9
M,0.44,0.47,0.12,2.13,0.77,0.11,0.305,10
F,0.555,0.425,0.44,0.7879999999999999,0.282,0.15,0.285,11
F,0.15,0.475,0.17,2.61,0.4695,0.56,0.7,14
F,0.71,0.56,0.41,0.9,1.24,0.22,0.285,9
M,0.62,0.12,0.175,1.615,1.11,0.66,0.26,12
F,0.52,0.425,0.165,1.08,0.396,0.225,0.52,16
M,0.71,0.475,0.16,0.96,0.61,0.4,0.58,21
M,0.24,0.45,0.69,0.86,0.43,0.21600000000000003,0.36,14
F,0.64,0.465,0.81,1.295,0.33899999999999997,0.42,0.98,12
M,0.625,0.465,0.14,1.195,0.57,0.16,0.79,13
M,0.37,0.55,0.71,0.8645,0.3305,0.2075,0.26,10
M,0.66,0.49,0.13,0.517,0.56,0.114,0.165,9
I,0.57,0.45,0.16,1.64,0.3135,0.12,0.33,12
