customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Male,0,No,No,53,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No internet service,No internet service,Two year,No,Electronic check,44.39,7615.15,No
5575-GNVDE,Female,1,Yes,No,3,Yes,No,No,Yes,No internet service,No internet service,No,No internet service,No,One year,Yes,Electronic check,38.61,5779.46,No
3668-QPYBK,Male,1,No,No,69,No,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,Yes,Yes,Two year,No,Electronic check,24.25,4775.11,Yes
7795-CFOCW,Female,1,Yes,No,35,No,No,Fiber optic,No,Yes,No,No internet service,No,No internet service,Two year,Yes,Electronic check,104.77,426.19,No
9237-HQITU,Female,0,Yes,Yes,71,No,No,DSL,Yes,Yes,Yes,No,No,No internet service,One year,Yes,Credit card (automatic),26.79,4347.98,Yes
9305-CDSKC,Male,1,Yes,Yes,58,No,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),32.84,6715.81,Yes
1452-KIOVK,Male,1,Yes,Yes,63,No,Yes,DSL,No internet service,Yes,No,No internet service,No,No,Two year,No,Mailed check,107.76,4875.13,No
6713-OKOMC,Female,0,Yes,No,69,No,No phone service,No,Yes,Yes,No internet service,No internet service,No internet service,Yes,One year,Yes,Electronic check,49.21,7054.8,No
7892-POOKP,Male,0,Yes,No,4,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),62.8,3033.51,Yes
6388-TABGU,Female,1,No,No,28,No,No phone service,DSL,No internet service,No internet service,No internet service,Yes,Yes,No,One year,Yes,Credit card (automatic),99.19,5038.09,No
9763-GRSKD,Male,0,No,No,56,No,No phone service,DSL,Yes,No internet service,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),96.75,3111.64,No
7469-LKBCI,Male,0,Yes,No,53,Yes,No,DSL,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),81.48,2468.09,No
8091-TTVAX,Male,0,No,Yes,14,No,No,DSL,No,No internet service,Yes,Yes,No internet service,No,One year,No,Bank transfer (automatic),31.75,1182.92,No
0280-XJGEX,Female,1,Yes,No,28,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,No,Yes,One year,No,Credit card (automatic),73.0,7497.86,Yes
5129-JLPIS,Female,0,No,No,25,Yes,Yes,DSL,Yes,No,Yes,No,No internet service,No internet service,One year,Yes,Mailed check,18.44,6548.55,No
3655-SNQYZ,Female,0,No,Yes,12,No,No,DSL,No,No,No,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),41.47,2614.31,No
8191-XWSZG,Female,1,No,No,55,No,No,No,Yes,No internet service,No,No,No,No internet service,One year,Yes,Electronic check,55.61,8289.97,No
9959-WOFKT,Female,1,Yes,Yes,12,Yes,No,Fiber optic,No internet service,No internet service,No,No,Yes,No,One year,Yes,Electronic check,77.38,2654.67,No
4190-MFLUW,Male,1,Yes,Yes,36,Yes,Yes,No,No internet service,No,No internet service,No internet service,Yes,Yes,Two year,Yes,Mailed check,25.51,5781.61,Yes
4183-MYFRB,Female,0,Yes,Yes,20,No,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,26.99,5087.8,No
8779-QRDMV,Male,1,No,Yes,63,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),73.3,7196.53,Yes
1680-VDCWW,Male,0,Yes,No,35,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),88.16,3323.59,No
1066-JKSGK,Female,0,Yes,Yes,59,Yes,Yes,No,No,Yes,No,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),28.39,8457.79,Yes
3638-WEABW,Male,0,No,Yes,14,No,No,DSL,No,No internet service,No internet service,Yes,Yes,Yes,Two year,No,Mailed check,44.33,4614.75,No
6322-HRPFA,Female,0,Yes,No,40,Yes,No,Fiber optic,No,No,Yes,No internet service,No,No internet service,Two year,No,Mailed check,91.71,694.71,No
6865-JZNKO,Male,1,Yes,No,7,Yes,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.8,2792.91,No
6467-CHFZW,Female,0,No,Yes,36,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),90.8,6548.64,Yes
8665-UTDHZ,Female,0,No,No,8,Yes,Yes,Fiber optic,Yes,Yes,No,No,No internet service,No,Month-to-month,No,Electronic check,74.45,5096.54,Yes
5248-YGIJN,Male,0,No,No,5,No,No phone service,No,No internet service,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Mailed check,70.44,1024.93,No
8773-HHUOZ,Female,1,Yes,No,60,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,No,No internet service,Month-to-month,No,Mailed check,19.09,22.83,Yes
3841-NFECX,Male,0,Yes,Yes,7,Yes,No phone service,No,Yes,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,107.82,1180.87,No
4929-XIHVW,Female,1,Yes,No,4,No,Yes,No,Yes,No internet service,No internet service,No,Yes,Yes,Two year,No,Credit card (automatic),87.95,3960.69,No
6827-IEAUQ,Female,1,Yes,No,5,Yes,No,DSL,No,No,No,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),118.04,6911.31,No
7310-EGVHZ,Female,1,No,No,22,Yes,No phone service,No,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,No,Electronic check,70.83,7479.0,No
